red_social,medio,vistas,vistas_var,sesiones,sesiones_var,ranking,ranking_var
Facebook,EL DEBER,1300000,2.0,800000,1.1,12,-1
Facebook,Red Uno,980000,-1.5,600000,-2.0,25,0
Facebook,UNITEL,1120000,1.8,750000,1.3,18,-2
Instagram,EL DEBER,950000,1.2,620000,0.5,14,-1
Instagram,Red Uno,760000,-2.1,540000,-1.7,27,1
Instagram,UNITEL,1010000,0.9,720000,0.8,19,-1
TikTok,EL DEBER,890000,2.5,610000,1.9,16,0
TikTok,Red Uno,690000,-3.0,500000,-2.8,29,2
TikTok,UNITEL,920000,1.0,700000,1.2,20,-1
YouTube,EL DEBER,1200000,1.7,810000,1.4,11,-1
YouTube,Red Uno,850000,-1.0,580000,-1.3,24,1
YouTube,UNITEL,1040000,2.2,730000,1.6,17,-2
